decimals,viete,madhava
5,0.0006506443023681641,0.0005118846893310547
5,0.0006802082061767578,0.0005104541778564453
5,0.0006475448608398438,0.0005118846893310547
5,0.0006933212280273438,0.0005395412445068359
5,0.0006811618804931641,0.0005311965942382812
5,0.0012640953063964844,0.0008654594421386719
5,0.0007112026214599609,0.0005567073822021484
5,0.0008180141448974609,0.0008685588836669922
5,0.00099945068359375,0.0009412765502929688
5,0.0013055801391601562,0.0009665489196777344
5,0.0007004737854003906,0.0005183219909667969
5,0.0006468296051025391,0.0005095005035400391
5,0.0006780624389648438,0.0005118846893310547
5,0.0006785392761230469,0.0005123615264892578
5,0.0006644725799560547,0.0005078315734863281
5,0.0006842613220214844,0.0005116462707519531
5,0.0006463527679443359,0.0005156993865966797
10,0.0010759830474853516,0.0011510848999023438
10,0.001070261001586914,0.00112152099609375
10,0.0011081695556640625,0.0011141300201416016
10,0.0010793209075927734,0.0011553764343261719
10,0.0010759830474853516,0.0011088848114013672
10,0.0011091232299804688,0.0011103153228759766
10,0.001071929931640625,0.0015039443969726562
10,0.0013628005981445312,0.001161336898803711
10,0.001081705093383789,0.001104116439819336
10,0.0011119842529296875,0.0011112689971923828
10,0.0010759830474853516,0.0011315345764160156
10,0.001071929931640625,0.0011096000671386719
10,0.0011000633239746094,0.0011091232299804688
10,0.0010724067687988281,0.001138925552368164
10,0.0010714530944824219,0.0011339187622070312
10,0.0011034011840820312,0.001110076904296875
10,0.0011076927185058594,0.0011410713195800781
10,0.001085519790649414,0.001110076904296875
10,0.0011088848114013672,0.0011165142059326172
10,0.0011010169982910156,0.0011208057403564453
10,0.0010769367218017578,0.0011103153228759766
10,0.0011057853698730469,0.001108407974243164
10,0.0010700225830078125,0.0011153221130371094
10,0.0010745525360107422,0.0011124610900878906
10,0.0010783672332763672,0.0011115074157714844
10,0.0010707378387451172,0.0011377334594726562
10,0.0010750293731689453,0.0011060237884521484
10,0.0010936260223388672,0.0011091232299804688
10,0.001081228256225586,0.0011432170867919922
10,0.001074075698852539,0.001107931137084961
10,0.0011038780212402344,0.0011072158813476562
10,0.001081705093383789,0.0011310577392578125
10,0.0010724067687988281,0.0011043548583984375
10,0.001112222671508789,0.0011072158813476562
10,0.0010783672332763672,0.0011343955993652344
10,0.0010783672332763672,0.0011060237884521484
10,0.0011086463928222656,0.0011324882507324219
10,0.0010669231414794922,0.0011372566223144531
10,0.0010750293731689453,0.001138448715209961
10,0.0011043548583984375,0.0011279582977294922
10,0.0010743141174316406,0.0011172294616699219
10,0.0010716915130615234,0.0011065006256103516
10,0.0010786056518554688,0.0011131763458251953
10,0.0010750293731689453,0.0011699199676513672
10,0.0010707378387451172,0.0011043548583984375
10,0.001104116439819336,0.001108407974243164
10,0.0010907649993896484,0.001172780990600586
10,0.0010721683502197266,0.0011088848114013672
10,0.0011014938354492188,0.0011074542999267578
10,0.0010788440704345703,0.0011150836944580078
10,0.0010759830474853516,0.0011124610900878906
10,0.0010776519775390625,0.0011019706726074219
10,0.0010721683502197266,0.0011334419250488281
10,0.0010695457458496094,0.0011107921600341797
10,0.0010814666748046875,0.001110076904296875
10,0.0010764598846435547,0.0011174678802490234
10,0.0010724067687988281,0.0012407302856445312
10,0.0028874874114990234,0.0011131763458251953
10,0.0010828971862792969,0.001107931137084961
10,0.0010793209075927734,0.0011110305786132812
10,0.0011096000671386719,0.0011091232299804688
10,0.0010797977447509766,0.0011086463928222656
10,0.0010790824890136719,0.0011513233184814453
10,0.001069784164428711,0.0011076927185058594
10,0.0010833740234375,0.001130819320678711
10,0.0010743141174316406,0.0011115074157714844
10,0.0010738372802734375,0.0011053085327148438
10,0.0011458396911621094,0.0011043548583984375
10,0.0010712146759033203,0.0011408329010009766
10,0.0010733604431152344,0.0011076927185058594
10,0.0010807514190673828,0.0011081695556640625
10,0.0010769367218017578,0.0011141300201416016
10,0.001074075698852539,0.001104116439819336
10,0.0010802745819091797,0.0011067390441894531
10,0.001074075698852539,0.0011088848114013672
10,0.0010690689086914062,0.0011034011840820312
10,0.0010783672332763672,0.001107931137084961
10,0.0010709762573242188,0.0011472702026367188
10,0.0010747909545898438,0.0011096000671386719
10,0.0010843276977539062,0.0011096000671386719
10,0.0010759830474853516,0.0011134147644042969
10,0.0011086463928222656,0.0010998249053955078
10,0.0011277198791503906,0.0011055469512939453
10,0.0010986328125,0.0011396408081054688
10,0.0010962486267089844,0.0011119842529296875
10,0.0011010169982910156,0.0011098384857177734
10,0.0010704994201660156,0.001138448715209961
10,0.001074075698852539,0.0011065006256103516
10,0.0011522769927978516,0.0011074542999267578
10,0.0010688304901123047,0.0011358261108398438
10,0.0010733604431152344,0.0011110305786132812
10,0.0011019706726074219,0.0011019706726074219
10,0.0010731220245361328,0.0011167526245117188
10,0.0010733604431152344,0.0011069774627685547
10,0.0010786056518554688,0.0011055469512939453
10,0.0010678768157958984,0.0011124610900878906
10,0.0010693073272705078,0.0011103153228759766
10,0.0010786056518554688,0.0011136531829833984
10,0.0010685920715332031,0.001172780990600586
10,0.0010678768157958984,0.0011134147644042969
15,0.0017247200012207031,0.0016024112701416016
15,0.0017237663269042969,0.0016095638275146484
15,0.0017292499542236328,0.0016047954559326172
15,0.0017192363739013672,0.0016329288482666016
15,0.0017654895782470703,0.0017158985137939453
15,0.0017747879028320312,0.0016109943389892578
15,0.0017080307006835938,0.0016062259674072266
15,0.0017242431640625,0.0016033649444580078
15,0.0017058849334716797,0.001611948013305664
15,0.0017178058624267578,0.0016002655029296875
15,0.0016875267028808594,0.0016064643859863281
15,0.0017039775848388672,0.0016090869903564453
15,0.0017361640930175781,0.0016019344329833984
15,0.0017008781433105469,0.0016109943389892578
15,0.0017223358154296875,0.00160980224609375
15,0.0017189979553222656,0.0015985965728759766
15,0.0017189979553222656,0.0015990734100341797
15,0.0017154216766357422,0.0016019344329833984
15,0.0017256736755371094,0.0016334056854248047
15,0.0017518997192382812,0.0016026496887207031
15,0.0017044544219970703,0.001603841781616211
15,0.0016982555389404297,0.0015909671783447266
15,0.0017206668853759766,0.0015935897827148438
15,0.0017464160919189453,0.0016782283782958984
15,0.001745462417602539,0.001605987548828125
15,0.0017018318176269531,0.0016036033630371094
15,0.0017352104187011719,0.001611948013305664
15,0.001695871353149414,0.0015952587127685547
15,0.0017006397247314453,0.0015952587127685547
15,0.001722574234008789,0.0015990734100341797
15,0.0017287731170654297,0.0016829967498779297
15,0.0017359256744384766,0.0016121864318847656
15,0.0017025470733642578,0.001611948013305664
15,0.0017325878143310547,0.0016374588012695312
15,0.0016970634460449219,0.001615762710571289
15,0.0017528533935546875,0.0018641948699951172
15,0.0017058849334716797,0.0016465187072753906
15,0.001867532730102539,0.0016415119171142578
15,0.0017015933990478516,0.0016591548919677734
15,0.0017099380493164062,0.0016231536865234375
15,0.0016903877258300781,0.0016131401062011719
15,0.0016965866088867188,0.0017235279083251953
15,0.0017118453979492188,0.0016417503356933594
15,0.0016884803771972656,0.0016376972198486328
15,0.001695394515991211,0.0016353130340576172
15,0.0017039775848388672,0.0016798973083496094
15,0.0016987323760986328,0.0016493797302246094
15,0.0017032623291015625,0.0016176700592041016
15,0.0027685165405273438,0.0017490386962890625
15,0.0018706321716308594,0.001735687255859375
15,0.0017931461334228516,0.001627206802368164
15,0.0017573833465576172,0.0016427040100097656
15,0.0017175674438476562,0.0016105175018310547
15,0.0017094612121582031,0.0016055107116699219
15,0.0017063617706298828,0.001603841781616211
15,0.001705169677734375,0.0016117095947265625
15,0.0017061233520507812,0.0016074180603027344
15,0.0017006397247314453,0.0016095638275146484
15,0.00174713134765625,0.0016074180603027344
15,0.001708984375,0.001604318618774414
15,0.0017008781433105469,0.0016052722930908203
15,0.0016980171203613281,0.0016019344329833984
15,0.0018067359924316406,0.0017545223236083984
15,0.0017154216766357422,0.0016105175018310547
15,0.0017070770263671875,0.001607656478881836
15,0.001703500747680664,0.0016131401062011719
15,0.0017130374908447266,0.001615285873413086
15,0.0016982555389404297,0.0016143321990966797
15,0.0017142295837402344,0.0016055107116699219
15,0.0017251968383789062,0.0016045570373535156
15,0.0017201900482177734,0.0016105175018310547
15,0.0017206668853759766,0.0016040802001953125
15,0.001722574234008789,0.0016131401062011719
15,0.0017323493957519531,0.0016105175018310547
15,0.0017175674438476562,0.001607656478881836
15,0.001722097396850586,0.001608133316040039
15,0.0017192363739013672,0.001604318618774414
15,0.0017201900482177734,0.0016303062438964844
15,0.0017232894897460938,0.0016055107116699219
15,0.0018112659454345703,0.0016129016876220703
15,0.001708984375,0.0016133785247802734
15,0.001697540283203125,0.0016126632690429688
15,0.0017023086547851562,0.0015981197357177734
15,0.0017046928405761719,0.0016016960144042969
15,0.0016930103302001953,0.0016102790832519531
15,0.0016918182373046875,0.0016033649444580078
15,0.0017023086547851562,0.0016064643859863281
15,0.0016946792602539062,0.001604318618774414
15,0.0016949176788330078,0.0016062259674072266
15,0.0016963481903076172,0.0016486644744873047
15,0.0017244815826416016,0.0016012191772460938
15,0.0017015933990478516,0.0016241073608398438
15,0.0017218589782714844,0.0016222000122070312
15,0.0017211437225341797,0.0016124248504638672
15,0.0017099380493164062,0.001603841781616211
15,0.0017046928405761719,0.0016088485717773438
15,0.0017063617706298828,0.0016164779663085938
15,0.0017054080963134766,0.0016117095947265625
